price,points,variety,country,province,taster_name
13,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
49,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
18,89,Cabernet Sauvignon,US,California,Matt Kettmann
48,90,Pinot Noir,US,Oregon,Paul Gregutt
35,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
16,85,Syrah,US,Washington,Paul Gregutt
42,86,Pinot Noir,US,California,Virginie Boone
48,88,Pinot Noir,US,Oregon,Paul Gregutt
38,91,Pinot Noir,US,Oregon,Paul Gregutt
70,91,Cabernet Sauvignon,US,California,Virginie Boone
85,94,Chardonnay,US,Oregon,Paul Gregutt
65,90,Cabernet Sauvignon,US,California,Virginie Boone
40,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
50,91,Pinot Noir,US,California,Virginie Boone
70,95,Chardonnay,US,California,Virginie Boone
28,92,Cabernet Sauvignon,US,Washington,Paul Gregutt
30,92,Pinot Noir,US,California,Matt Kettmann
35,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
40,84,Pinot Noir,US,Oregon,Paul Gregutt
18,90,Chardonnay,US,California,Virginie Boone
28,91,Syrah,US,California,Virginie Boone
270,93,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
17,88,Riesling,US,Oregon,Paul Gregutt
50,92,Pinot Noir,US,California,Matt Kettmann
28,88,Cabernet Sauvignon,US,Washington,Paul Gregutt
37,93,Chardonnay,France,Burgundy,Roger Voss
55,92,Chardonnay,US,California,Matt Kettmann
30,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
48,94,Pinot Noir,US,California,Virginie Boone
60,90,Cabernet Sauvignon,US,California,Virginie Boone
20,84,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
68,94,Pinot Noir,US,California,Virginie Boone
15,91,Pinot Gris,US,Oregon,Paul Gregutt
75,90,Pinot Noir,France,Burgundy,Roger Voss
54,91,Bordeaux-style Red Blend,US,California,Virginie Boone
60,91,Cabernet Sauvignon,US,California,Virginie Boone
17,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
14,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
41,89,Pinot Noir,France,Burgundy,Roger Voss
43,90,Pinot Noir,US,California,Virginie Boone
50,88,Red Blend,US,California,Virginie Boone
25,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
42,92,Pinot Noir,US,Oregon,Paul Gregutt
60,94,Pinot Noir,US,California,Matt Kettmann
32,90,Chardonnay,US,California,Matt Kettmann
39,93,Cabernet Sauvignon,US,California,Virginie Boone
28,88,Chardonnay,France,Burgundy,Roger Voss
35,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
35,91,Pinot Noir,US,California,Virginie Boone
30,90,Syrah,US,Washington,Paul Gregutt
30,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
50,92,Pinot Noir,US,California,Matt Kettmann
75,88,Chardonnay,France,Burgundy,Roger Voss
20,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
39,91,Chardonnay,US,California,Matt Kettmann
35,88,Pinot Noir,US,Oregon,Paul Gregutt
19,84,Red Blend,US,California,Matt Kettmann
28,85,Pinot Noir,US,California,Virginie Boone
20,90,Chardonnay,US,California,Virginie Boone
47,84,Cabernet Sauvignon,US,California,Virginie Boone
28,90,Syrah,US,Washington,Paul Gregutt
45,92,Pinot Noir,US,California,Matt Kettmann
15,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
90,95,Chardonnay,France,Burgundy,Roger Voss
17,83,Chardonnay,US,Washington,Paul Gregutt
63,88,Chardonnay,France,Burgundy,Roger Voss
10,89,Riesling,US,Washington,Paul Gregutt
25,89,Riesling,US,Oregon,Paul Gregutt
23,88,Pinot Noir,France,Burgundy,Roger Voss
20,84,Pinot Noir,US,Oregon,Paul Gregutt
15,84,Pinot Gris,France,Alsace,Roger Voss
260,95,Chardonnay,France,Burgundy,Roger Voss
30,85,Pinot Noir,US,California,Virginie Boone
49,95,Chardonnay,US,Oregon,Paul Gregutt
16,84,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
39,91,Pinot Noir,US,California,Virginie Boone
35,88,Pinot Noir,US,Oregon,Paul Gregutt
43,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,87,Chardonnay,US,Oregon,Paul Gregutt
35,92,Red Blend,US,California,Matt Kettmann
60,90,Pinot Noir,US,Oregon,Paul Gregutt
34,90,Cabernet Sauvignon,US,California,Virginie Boone
35,91,Cabernet Sauvignon,US,Washington,Paul Gregutt
91,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
40,91,Pinot Noir,US,Oregon,Paul Gregutt
32,90,Syrah,US,California,Virginie Boone
80,89,Syrah,US,California,Matt Kettmann
37,92,Chardonnay,France,Burgundy,Roger Voss
14,85,Pinot Gris,US,Oregon,Paul Gregutt
65,88,Pinot Noir,US,Oregon,Paul Gregutt
55,89,Pinot Noir,US,Oregon,Paul Gregutt
30,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
25,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
85,93,Pinot Noir,US,California,Virginie Boone
24,87,Red Blend,US,California,Virginie Boone
40,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
140,90,Pinot Noir,France,Burgundy,Roger Voss
95,92,Cabernet Sauvignon,US,California,Virginie Boone
35,95,Chardonnay,US,California,Matt Kettmann
45,91,Red Blend,US,Washington,Paul Gregutt
22,91,Chardonnay,US,Oregon,Paul Gregutt
49,94,Syrah,US,California,Virginie Boone
20,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
45,90,Pinot Noir,US,Oregon,Paul Gregutt
47,90,Pinot Noir,France,Burgundy,Roger Voss
50,93,Pinot Noir,US,California,Matt Kettmann
30,91,Chardonnay,US,California,Matt Kettmann
14,88,Chardonnay,US,California,Virginie Boone
25,89,Chardonnay,US,Washington,Paul Gregutt
17,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
58,93,Pinot Noir,US,California,Matt Kettmann
80,93,Cabernet Sauvignon,US,California,Virginie Boone
40,93,Syrah,US,California,Virginie Boone
50,89,Chardonnay,France,Burgundy,Roger Voss
11,81,Chardonnay,US,California,Virginie Boone
18,90,Pinot Gris,US,Oregon,Paul Gregutt
40,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
22,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
30,89,Cabernet Sauvignon,US,Washington,Paul Gregutt
76,92,Pinot Noir,France,Burgundy,Roger Voss
25,90,Pinot Noir,US,Oregon,Paul Gregutt
42,91,Cabernet Sauvignon,US,Washington,Paul Gregutt
60,92,Pinot Noir,US,California,Virginie Boone
48,92,Pinot Noir,US,Oregon,Paul Gregutt
20,82,Pinot Noir,US,Washington,Paul Gregutt
25,86,Syrah,US,Washington,Paul Gregutt
25,87,Pinot Noir,US,Oregon,Paul Gregutt
39,91,Chardonnay,US,Oregon,Paul Gregutt
110,92,Pinot Noir,France,Burgundy,Roger Voss
73,90,Pinot Noir,France,Burgundy,Roger Voss
13,90,Riesling,US,Washington,Paul Gregutt
38,85,Pinot Noir,US,California,Virginie Boone
80,94,Chardonnay,France,Burgundy,Roger Voss
25,91,Pinot Noir,US,California,Virginie Boone
85,94,Cabernet Sauvignon,US,California,Virginie Boone
22,87,Pinot Noir,US,Oregon,Paul Gregutt
29,89,Cabernet Sauvignon,US,California,Virginie Boone
28,91,Bordeaux-style Red Blend,US,Washington,Paul Gregutt
55,90,Pinot Noir,US,Oregon,Paul Gregutt
55,91,Pinot Noir,US,Oregon,Paul Gregutt
35,88,Pinot Noir,US,Oregon,Paul Gregutt
23,88,Chardonnay,France,Burgundy,Roger Voss
36,90,Syrah,US,Washington,Paul Gregutt
24,84,Red Blend,US,Washington,Paul Gregutt
30,87,Pinot Noir,US,Oregon,Paul Gregutt
65,93,Cabernet Sauvignon,US,California,Virginie Boone
45,91,Chardonnay,US,California,Matt Kettmann
68,90,Syrah,US,California,Virginie Boone
24,89,Chardonnay,US,Oregon,Paul Gregutt
60,91,Pinot Noir,US,Oregon,Paul Gregutt
28,92,Pinot Noir,US,California,Matt Kettmann
48,86,Cabernet Sauvignon,US,California,Virginie Boone
17,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,91,Riesling,US,California,Virginie Boone
25,90,Chardonnay,US,California,Virginie Boone
16,88,Syrah,US,California,Virginie Boone
55,91,Pinot Noir,US,California,Virginie Boone
20,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
58,92,Pinot Noir,US,Oregon,Paul Gregutt
40,90,Pinot Noir,US,Oregon,Paul Gregutt
55,87,Pinot Noir,US,California,Matt Kettmann
38,91,Cabernet Sauvignon,US,Washington,Paul Gregutt
45,89,Chardonnay,France,Burgundy,Roger Voss
34,89,Pinot Noir,US,Oregon,Paul Gregutt
25,87,Pinot Noir,US,Oregon,Paul Gregutt
40,90,Gewürztraminer,France,Alsace,Roger Voss
50,91,Pinot Noir,US,California,Virginie Boone
15,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
28,86,Pinot Noir,US,Oregon,Paul Gregutt
24,85,Pinot Noir,France,Burgundy,Roger Voss
68,94,Pinot Noir,US,California,Matt Kettmann
38,89,Pinot Noir,US,California,Virginie Boone
20,88,Pinot Noir,US,Oregon,Paul Gregutt
48,87,Red Blend,US,California,Matt Kettmann
20,85,Chardonnay,US,Washington,Paul Gregutt
13,82,Pinot Gris,US,Oregon,Paul Gregutt
50,90,Pinot Noir,US,California,Matt Kettmann
35,91,Chardonnay,US,California,Virginie Boone
20,89,Pinot Noir,US,California,Matt Kettmann
380,98,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
60,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
85,91,Cabernet Sauvignon,US,California,Virginie Boone
59,92,Pinot Noir,US,California,Virginie Boone
43,87,Chardonnay,France,Burgundy,Roger Voss
20,83,Red Blend,US,Washington,Paul Gregutt
24,91,Pinot Noir,US,California,Virginie Boone
120,93,Cabernet Sauvignon,US,California,Virginie Boone
75,92,Chardonnay,US,California,Matt Kettmann
100,91,Cabernet Sauvignon,US,California,Virginie Boone
23,88,Pinot Noir,France,Burgundy,Roger Voss
32,88,Syrah,US,Washington,Paul Gregutt
64,92,Pinot Noir,US,California,Matt Kettmann
38,88,Pinot Gris,France,Alsace,Roger Voss
55,86,Pinot Noir,US,Oregon,Paul Gregutt
95,90,Red Blend,US,California,Virginie Boone
54,88,Chardonnay,France,Burgundy,Roger Voss
48,90,Red Blend,US,California,Matt Kettmann
80,93,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
11,86,Chardonnay,US,California,Matt Kettmann
75,93,Chardonnay,France,Burgundy,Roger Voss
90,91,Pinot Noir,US,Oregon,Paul Gregutt
26,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
36,88,Pinot Noir,US,Oregon,Paul Gregutt
25,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
86,95,Pinot Noir,US,Oregon,Paul Gregutt
40,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
27,92,Cabernet Sauvignon,US,California,Matt Kettmann
24,85,Cabernet Sauvignon,US,Washington,Paul Gregutt
55,92,Pinot Noir,US,Oregon,Paul Gregutt
46,93,Pinot Noir,US,California,Virginie Boone
32,89,Syrah,US,Washington,Paul Gregutt
104,94,Pinot Noir,France,Burgundy,Roger Voss
48,89,Cabernet Sauvignon,US,California,Virginie Boone
150,94,Pinot Noir,France,Burgundy,Roger Voss
25,88,Chardonnay,US,California,Virginie Boone
16,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
60,83,Bordeaux-style Red Blend,US,California,Virginie Boone
45,92,Pinot Noir,US,California,Matt Kettmann
42,93,Syrah,US,California,Matt Kettmann
15,85,Chardonnay,France,Burgundy,Roger Voss
65,88,Pinot Noir,US,California,Virginie Boone
17,87,Cabernet Sauvignon,US,California,Matt Kettmann
40,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
35,89,Gewürztraminer,US,California,Virginie Boone
65,92,Cabernet Sauvignon,US,California,Matt Kettmann
25,85,Pinot Noir,US,Oregon,Paul Gregutt
22,90,Riesling,US,Washington,Paul Gregutt
32,87,Pinot Noir,US,Oregon,Paul Gregutt
15,87,Riesling,France,Alsace,Roger Voss
54,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
40,92,Red Blend,US,Washington,Paul Gregutt
48,92,Pinot Noir,US,Oregon,Paul Gregutt
85,90,Pinot Noir,US,California,Virginie Boone
24,92,Riesling,US,Oregon,Paul Gregutt
20,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Red Blend,US,Washington,Paul Gregutt
65,94,Pinot Noir,US,Oregon,Paul Gregutt
50,92,Syrah,US,California,Matt Kettmann
35,90,Pinot Noir,US,Oregon,Paul Gregutt
23,88,Chardonnay,France,Burgundy,Roger Voss
18,91,Chardonnay,US,Oregon,Paul Gregutt
13,83,Chardonnay,US,California,Virginie Boone
38,94,Chardonnay,US,Washington,Paul Gregutt
45,87,Red Blend,US,California,Virginie Boone
36,90,Pinot Noir,US,California,Matt Kettmann
75,91,Cabernet Sauvignon,US,California,Virginie Boone
30,86,Bordeaux-style Red Blend,US,California,Matt Kettmann
35,93,Pinot Noir,US,California,Matt Kettmann
15,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
40,91,Chardonnay,US,Oregon,Paul Gregutt
39,89,Riesling,US,Oregon,Paul Gregutt
20,86,Red Blend,US,Oregon,Paul Gregutt
32,87,Chardonnay,US,California,Virginie Boone
85,96,Red Blend,US,Washington,Paul Gregutt
14,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
25,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
30,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
70,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
45,91,Bordeaux-style Red Blend,US,Washington,Paul Gregutt
16,83,Chardonnay,US,California,Virginie Boone
25,87,Cabernet Sauvignon,US,Washington,Paul Gregutt
50,85,Chardonnay,France,Burgundy,Roger Voss
30,91,Pinot Noir,US,California,Matt Kettmann
35,85,Chardonnay,France,Burgundy,Roger Voss
30,87,Chardonnay,US,California,Virginie Boone
45,90,Cabernet Sauvignon,US,Washington,Paul Gregutt
30,92,Syrah,US,California,Matt Kettmann
42,87,Pinot Noir,US,Oregon,Paul Gregutt
16,87,Chardonnay,US,California,Virginie Boone
45,88,Syrah,US,California,Matt Kettmann
35,90,Chardonnay,France,Burgundy,Roger Voss
35,91,Chardonnay,France,Burgundy,Roger Voss
47,90,Chardonnay,France,Burgundy,Roger Voss
22,86,Pinot Gris,US,Oregon,Paul Gregutt
40,92,Red Blend,US,Washington,Paul Gregutt
75,92,Chardonnay,US,Oregon,Paul Gregutt
13,87,Chardonnay,US,California,Virginie Boone
30,91,Chardonnay,France,Burgundy,Roger Voss
16,87,Chardonnay,France,Burgundy,Roger Voss
37,93,Syrah,US,Washington,Paul Gregutt
42,91,Cabernet Sauvignon,US,Washington,Paul Gregutt
25,88,Syrah,US,Washington,Paul Gregutt
40,88,Syrah,US,California,Matt Kettmann
40,93,Cabernet Sauvignon,US,California,Virginie Boone
25,90,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
56,86,Chardonnay,France,Burgundy,Roger Voss
85,94,Chardonnay,US,California,Virginie Boone
52,88,Pinot Noir,US,Oregon,Paul Gregutt
85,94,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
10,85,Chardonnay,US,Washington,Paul Gregutt
38,83,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
30,88,Chardonnay,US,California,Virginie Boone
16,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
17,89,Chardonnay,US,California,Matt Kettmann
39,87,Syrah,US,Washington,Paul Gregutt
48,90,Pinot Noir,US,Oregon,Paul Gregutt
225,93,Cabernet Sauvignon,US,California,Virginie Boone
65,90,Cabernet Sauvignon,US,California,Virginie Boone
52,91,Bordeaux-style Red Blend,US,California,Matt Kettmann
53,91,Pinot Gris,France,Alsace,Roger Voss
15,87,Pinot Gris,US,Oregon,Paul Gregutt
19,87,Chardonnay,France,Burgundy,Roger Voss
30,88,Pinot Noir,US,Oregon,Paul Gregutt
40,91,Red Blend,US,Washington,Paul Gregutt
62,93,Pinot Noir,US,California,Virginie Boone
12,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
159,91,Chardonnay,France,Burgundy,Roger Voss
45,90,Red Blend,US,California,Virginie Boone
38,85,Red Blend,US,Oregon,Paul Gregutt
65,94,Chardonnay,US,Oregon,Paul Gregutt
30,90,Pinot Noir,US,Oregon,Paul Gregutt
40,91,Chardonnay,France,Burgundy,Roger Voss
45,90,Pinot Noir,US,California,Virginie Boone
28,88,Pinot Noir,US,Oregon,Paul Gregutt
32,93,Riesling,US,Washington,Paul Gregutt
24,87,Red Blend,US,Washington,Paul Gregutt
38,91,Syrah,US,California,Matt Kettmann
35,93,Pinot Noir,US,Oregon,Paul Gregutt
45,88,Pinot Noir,US,California,Virginie Boone
54,91,Pinot Noir,US,California,Virginie Boone
16,84,Pinot Noir,US,California,Virginie Boone
65,88,Pinot Noir,US,California,Matt Kettmann
50,92,Chardonnay,US,California,Virginie Boone
17,84,Chardonnay,US,California,Virginie Boone
65,95,Syrah,US,Washington,Paul Gregutt
20,88,Pinot Noir,US,California,Matt Kettmann
39,89,Red Blend,US,California,Matt Kettmann
40,90,Pinot Noir,US,Oregon,Paul Gregutt
83,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
19,86,Chardonnay,US,California,Virginie Boone
18,91,Pinot Gris,US,California,Virginie Boone
40,89,Bordeaux-style Red Blend,US,California,Matt Kettmann
270,95,Pinot Noir,France,Burgundy,Roger Voss
25,89,Gewürztraminer,US,California,Virginie Boone
12,85,Gewürztraminer,France,Alsace,Roger Voss
19,90,Chardonnay,US,California,Matt Kettmann
50,89,Pinot Noir,US,California,Virginie Boone
20,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
44,92,Syrah,US,Washington,Paul Gregutt
18,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
50,92,Pinot Noir,US,Oregon,Paul Gregutt
160,95,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
10,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
75,91,Cabernet Sauvignon,US,California,Virginie Boone
38,93,Syrah,US,California,Matt Kettmann
22,88,Riesling,US,Washington,Paul Gregutt
65,95,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
13,81,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
35,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
28,87,Red Blend,US,Washington,Paul Gregutt
22,88,Chardonnay,US,California,Virginie Boone
50,89,Chardonnay,France,Burgundy,Roger Voss
38,92,Chardonnay,US,California,Virginie Boone
34,87,Cabernet Sauvignon,US,California,Virginie Boone
54,87,Chardonnay,France,Burgundy,Roger Voss
25,90,Pinot Noir,France,Burgundy,Roger Voss
20,81,Chardonnay,US,Oregon,Paul Gregutt
40,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
90,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
23,88,Syrah,US,California,Virginie Boone
48,88,Pinot Noir,US,Oregon,Paul Gregutt
20,86,Chardonnay,France,Burgundy,Roger Voss
40,90,Pinot Noir,US,California,Virginie Boone
17,84,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
150,97,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Pinot Noir,US,Oregon,Paul Gregutt
100,96,Pinot Noir,US,Oregon,Paul Gregutt
55,89,Red Blend,US,California,Matt Kettmann
18,91,Red Blend,US,Washington,Paul Gregutt
40,89,Pinot Noir,France,Burgundy,Roger Voss
16,87,Pinot Gris,US,Oregon,Paul Gregutt
20,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
19,88,Chardonnay,US,Oregon,Paul Gregutt
17,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
150,92,Bordeaux-style Red Blend,US,California,Virginie Boone
36,94,Syrah,US,California,Virginie Boone
41,91,Syrah,US,Washington,Paul Gregutt
25,86,Chardonnay,US,Washington,Paul Gregutt
60,93,Chardonnay,US,California,Virginie Boone
16,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
118,95,Pinot Noir,France,Burgundy,Roger Voss
34,87,Cabernet Sauvignon,US,California,Matt Kettmann
32,88,Chardonnay,US,California,Virginie Boone
85,90,Pinot Noir,US,Oregon,Paul Gregutt
29,89,Chardonnay,France,Burgundy,Roger Voss
25,85,Red Blend,US,Washington,Paul Gregutt
45,83,Pinot Noir,US,Oregon,Paul Gregutt
28,91,Chardonnay,US,California,Matt Kettmann
34,84,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
20,88,Cabernet Sauvignon,US,California,Matt Kettmann
36,89,Syrah,US,California,Virginie Boone
18,90,Pinot Noir,US,Oregon,Paul Gregutt
39,93,Bordeaux-style Red Blend,US,California,Matt Kettmann
28,86,Pinot Noir,US,California,Virginie Boone
12,86,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
12,89,Pinot Gris,US,Oregon,Paul Gregutt
38,93,Syrah,US,Washington,Paul Gregutt
25,83,Pinot Noir,US,California,Virginie Boone
38,86,Chardonnay,US,California,Virginie Boone
36,89,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
21,88,Riesling,US,California,Matt Kettmann
19,89,Chardonnay,US,Oregon,Paul Gregutt
35,90,Pinot Noir,US,California,Matt Kettmann
28,88,Chardonnay,US,California,Matt Kettmann
47,91,Chardonnay,US,Oregon,Paul Gregutt
60,87,Cabernet Sauvignon,US,Washington,Paul Gregutt
40,90,Pinot Noir,US,Oregon,Paul Gregutt
18,87,Pinot Noir,US,Oregon,Paul Gregutt
12,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
65,92,Red Blend,US,California,Matt Kettmann
59,92,Pinot Noir,US,California,Matt Kettmann
64,91,Syrah,US,California,Virginie Boone
9,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
35,91,Pinot Noir,US,California,Virginie Boone
60,91,Pinot Noir,US,Oregon,Paul Gregutt
150,94,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
42,92,Cabernet Sauvignon,US,California,Virginie Boone
90,94,Cabernet Sauvignon,US,Washington,Paul Gregutt
12,87,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
36,93,Chardonnay,US,California,Virginie Boone
45,89,Pinot Noir,US,Oregon,Paul Gregutt
39,85,Pinot Noir,US,California,Virginie Boone
21,87,Chardonnay,France,Burgundy,Roger Voss
42,88,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
38,91,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
30,88,Pinot Noir,France,Burgundy,Roger Voss
30,86,Pinot Noir,US,California,Virginie Boone
34,88,Pinot Noir,US,Oregon,Paul Gregutt
39,90,Pinot Noir,US,Oregon,Paul Gregutt
44,95,Pinot Noir,US,California,Matt Kettmann
65,87,Syrah,US,California,Matt Kettmann
35,90,Red Blend,US,Washington,Paul Gregutt
85,94,Pinot Noir,US,Oregon,Paul Gregutt
22,87,Pinot Noir,US,Oregon,Paul Gregutt
10,87,Chardonnay,US,Washington,Paul Gregutt
35,90,Pinot Noir,US,Oregon,Paul Gregutt
48,86,Cabernet Sauvignon,US,California,Virginie Boone
38,88,Pinot Gris,France,Alsace,Roger Voss
45,88,Pinot Noir,US,California,Matt Kettmann
50,92,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
140,95,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
7,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
23,89,Chardonnay,US,California,Matt Kettmann
24,90,Riesling,US,Oregon,Paul Gregutt
279,94,Pinot Noir,France,Burgundy,Roger Voss
85,84,Pinot Noir,US,Oregon,Paul Gregutt
30,85,Cabernet Sauvignon,US,California,Virginie Boone
87,93,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
22,92,Pinot Gris,US,Oregon,Paul Gregutt
30,84,Pinot Noir,US,Oregon,Paul Gregutt
20,85,Bordeaux-style Red Blend,France,Bordeaux,Roger Voss
60,86,Pinot Noir,US,Oregon,Paul Gregutt
40,90,Chardonnay,US,California,Virginie Boone
