state,county,cz,czname,kfr_pooled_pooled_p25,kfr_white_pooled_p25,poor_share1990,ann_avg_job_growth_2004_2013,job_growth_quartile
5,123,5300,West Memphis,0.3393988,0.42867756,0.36678159,-0.017685622,1
5,125,4200,Little Rock,99,0.40119419,0.088362269,0.020108441,4
5,127,30100,Fort Smith,0.41697285,0.43022451,0.21882449,-9.2528865e-4,3
5,129,25103,Harrison,0.4302806,0.44388807,0.29934829,-0.0096372822,2
5,131,30100,Fort Smith,99,0.4169575,0.1273066,-0.0014753829,3
5,133,34002,Idabel,0.41784802,0.45515803,0.18880923,-0.030272976,1
5,135,25105,Batesville,0.41550666000000003,0.42663285,0.2185621,-0.010252282,2
5,137,25104,Heber Springs,0.43088451,0.44689044,0.26119393,0.0071424744,4
5,139,4103,El Dorado,0.35887739,0.43442482,0.21245307,-0.020502781,1
5,141,25104,Heber Springs,0.42880493,0.43992463,0.21967041,-0.010286738,2
5,143,30300,Fayetteville,0.40926707,0.43712914,99,0.012257343,4
5,145,4302,Searcy,0.42487273,0.439518,0.18042846,0.0093087275,4
5,147,4302,Searcy,0.35425344,0.42156771,0.3452664,-0.0076616518,2
5,149,30000,Russellville,0.39004129,0.40445676,0.17041613,-0.012182749,1
6,1,37800,San Francisco,0.4454354,0.47966033,0.10363327,0.0071956376,4
6,3,37400,Sacramento,0.35494533,0.59756613,99,-0.0036742692,2
6,5,37400,Sacramento,0.46767178,0.48357761,0.086727232,-0.022687472,1
6,7,37300,Chico,0.4174532,0.43567505,0.18267366,0.0012150921,3
6,9,37400,Sacramento,99,0.44650218,0.095969088,-0.0021867903,3
6,11,37300,Chico,0.43434104,0.4396486,0.13141933,0.012108942,4
6,13,37800,San Francisco,0.43915075,0.47690213,0.071805775,0.0039591892,3
6,15,36901,Crescent City,0.39385891,0.40676287,0.1541342,-0.0078002857,2
6,17,37400,Sacramento,0.46889934,0.48512375,0.065950878,-0.0041756416,2
6,19,37200,Fresno,0.39173633,0.4435046,0.19490913,0.0052994201,4
6,21,37300,Chico,0.407442,0.41889137,0.17429797,0.010592216,4
6,23,36700,Eureka,0.40055817,0.42057595,0.17944846,0.0028275526,3
6,25,38100,Yuma,0.36645997,0.44266191,0.22355102,0.019443842,4
6,27,37903,Mammoth Lakes,0.45439193,0.49752507,0.12303068,-0.0013011015,3
6,29,37100,Bakersfield,0.42490715,0.45480669,0.1599147,0.022820042,4
6,31,37200,Fresno,0.39569581,0.43795121,0.18110192,0.0069974689,4
6,33,37700,Santa Rosa,0.42103842,0.44724676,0.15121704,0.011867559,4
6,35,36501,Klamath Falls,0.42902815,0.45248559,0.12827671,-0.014878797,1
6,37,38300,Los Angeles,0.43123019,0.49196619,0.14763606,9.2718692e-4,3
6,39,37200,Fresno,0.39287484,0.43692657,0.1749427,-0.002210733,3
6,41,37800,San Francisco,0.47873285,0.50419009,0.053712569,0.00678817,4
6,43,37000,Modesto,0.46297544,0.48343456,0.12722977,-0.0091356821,2
6,45,37700,Santa Rosa,0.39904401,0.42274612,0.14318991,-0.01022789,2
6,47,37000,Modesto,0.40979525,0.43678007,0.19413918,0.013334811,4
6,49,36501,Klamath Falls,0.44629347,0.4706496,0.15109344,-0.020272391,1
6,51,37903,Mammoth Lakes,0.43463239,0.49578148,0.096167713,-0.0030588633,3
6,53,37500,San Jose,0.40575898,0.45149451,0.11796114,0.0023002694,3
6,55,37800,San Francisco,0.43577325,0.47554612,0.065437622,-6.2286505e-5,3
6,57,37400,Sacramento,0.45311219,0.46962497,0.077259637,-0.0045507895,2
6,59,38300,Los Angeles,0.46124375,0.49262583,0.080979876,-0.0030271988,3
6,61,37400,Sacramento,0.46106142,0.48182142,0.064899944,0.0080540935,4
6,63,37603,Portola,0.43394718,0.45247713,0.11923562,-0.030256717,1
6,65,38300,Los Angeles,0.4091011,0.45324028,0.10731578,0.017364578,4
6,67,37400,Sacramento,0.42372814,0.45048949,0.11064725,-4.225162e-4,3
6,69,37500,San Jose,99,0.4896327,0.092771553,0.013959163,4
6,71,38300,Los Angeles,0.41319978,0.44833052,99,0.0038457608,3
6,73,38000,San Diego,0.42578506,0.47781515,0.11119922,0.0010577129,3
6,75,37800,San Francisco,99,0.51067501,0.12736367,0.023972303,4
6,77,37400,Sacramento,0.4109748,0.44382828,0.14360279,0.0074190781,4
6,79,38200,Santa Barbara,0.44881001,0.47514486,0.13091548,0.0045607379,3
6,81,37800,San Francisco,0.47538444,0.50751412,0.064557701,0.015792876,4
6,83,38200,Santa Barbara,0.43162468,0.4780803,0.13853785,3.5432252e-4,3
6,85,37500,San Jose,0.47475955,0.49450091,0.075513177,0.018766817,4
6,87,37500,San Jose,0.41556695,0.47204,0.11235964,-0.0050679292,2
6,89,36600,Redding,0.42409173,0.43762597,0.13281651,-0.015178526,1
6,91,37603,Portola,99,0.48466483,0.092157461,-0.013203499,1
6,93,36501,Klamath Falls,0.44827986,0.46463576,0.13893461,-0.0086620683,2
6,95,37800,San Francisco,0.42531589,0.45447244999999997,0.069830954,-0.0056726024,2
6,97,37700,Santa Rosa,0.4450615,0.47474137,0.079766221,-0.0043378933,2
6,99,37000,Modesto,0.41757643,0.44302428,0.14067844,0.0036021096,3
6,101,37300,Chico,0.43230522,0.44167164,0.14108422,0.0073085665,4
6,103,36600,Redding,0.41335842,0.4300954,0.15098239,-0.006089827,2
6,105,36700,Eureka,0.4283205,0.46023619,0.18183154,-0.0022111854,3
6,107,37200,Fresno,0.40219763,0.43889886,0.22236772,0.0088896304,4
6,109,37000,Modesto,0.44813046,0.45996594,0.090886414,-0.022368144,1
6,111,38300,Los Angeles,0.42867219,0.47355098,0.073174424,0.0026778649,3
6,113,37400,Sacramento,0.43536642,0.46382371,0.15855832,0.0078737224,4
6,115,37300,Chico,0.41382939,0.420472,0.20386125,0.008188501,4
8,1,28900,Denver,0.40674448,0.43657938,0.097528033,0.016261956,4
8,3,34805,Alamosa,0.40989545,0.46776778,0.248037,-0.014329617,1
8,5,28900,Denver,0.44163319,0.4846909,0.057805169000000003,0.009583544,4
8,7,35300,Farmington,0.45483515,0.46891153,0.15798767,-0.005608656,2
8,9,28501,Springfield,0.51706058,0.52934927,0.18891479,-0.024620038,1
8,11,28502,Pueblo,0.38204563,0.42060414,0.20392074,-0.042666741,1
8,13,28900,Denver,0.44868073,0.48681647,0.10200386,0.0045500491,3
8,14,28900,Denver,0.4738498,0.48654875,0.055177089,0.034513794,4
8,15,28701,Salida,99,0.48459488,0.13813707,0.0025569911,3
8,17,28504,Burlington,0.58097589,0.58923125,0.1163187,-0.035851575,1
8,19,28900,Denver,0.5012961,0.51317436,0.090875089,-0.009214066,2
8,21,34805,Alamosa,0.49919999,0.57203901,0.33959439,-0.0092682373,2
8,23,34805,Alamosa,0.38670185,0.4159053,0.34091514,0.017328568,4
8,25,28502,Pueblo,0.40648493,0.44107586,0.23830812,-0.021783972,1
8,27,28401,Colorado Springs,0.48927975,0.48853526,0.18381201,-0.0073292954,2
8,29,35201,Grand Junction,0.469383,0.48974648,0.18096168,-0.01008397,2
8,31,28900,Denver,0.3797124,0.44664818,0.16210671,0.019932155,4
8,33,35402,Cortez,0.47992218,0.50297326,0.14457029,0.0021739814,3
8,35,28900,Denver,0.48243368,0.50711256,0.031253062,0.019968245,4
8,37,28702,Glenwood Springs,0.45891118,0.51192504,0.077213466,0.015238888,4
8,39,28900,Denver,0.48969987,0.50325221,0.062272009,-0.0015596558,3
8,41,28401,Colorado Springs,0.41038227,0.44533184,0.091824293,0.005305869,4
8,43,28401,Colorado Springs,0.43079603,0.45026007,0.16605859,-0.030385097,1
8,45,28702,Glenwood Springs,0.46674812,0.50613576,0.094052501,0.0064131897,4
8,47,28900,Denver,0.44016194,0.46575856,0.10551867,-6.0455338e-4,3
8,49,28703,Granby,0.50747639,0.51539844,0.091187872,0.001559601,3
8,51,35202,Gunnison,0.48710701,0.51787651,0.15784311,0.0095939506,4
8,53,35202,Gunnison,0.4694798,NA,0.13918629,-0.037839267,1
8,55,28503,Trinidad,0.39785537,0.43924367,0.25864181,-0.034964919,1
8,57,28704,Laramie,0.5464769,0.56888252,0.10006254,-0.038202655,1
8,59,28900,Denver,0.45357713,0.47910196,0.056802586,-0.001183269,3
8,61,28504,Burlington,0.51521695,0.51682305,0.13759807,-0.01740857,1
8,63,28504,Burlington,0.51277345,0.54030436,0.15330499,-0.006313601,2
8,65,28702,Glenwood Springs,99,0.42187354,0.13009654,0.012872895,4
8,67,35300,Farmington,0.48602137,0.51402295,0.14896016,0.0031545404,3
8,69,28800,Fort Collins,0.45867237,0.48364025,0.1111038,0.00541818,4
8,71,28503,Trinidad,0.451882,0.52589774,0.26239038,-0.025530431,1
8,73,28402,Limon,0.46279272,0.48383284,0.17574848,-0.041920457,1
8,75,28301,Sterling,0.47186178,0.51365745,0.14227909,-4.7606239e-4,3
8,77,35201,Grand Junction,0.4522244,0.47240654,0.14889137,0.0024673652,3
8,79,34805,Alamosa,0.29437235,NA,0.13082437,-0.012513128,1
8,81,36401,Steamboat Springs,0.46070582,0.46961167,0.11029454,-0.0047492152,2
8,83,35402,Cortez,0.42987108,0.44207045,0.20377874,-0.0015974713,3
8,85,35201,Grand Junction,0.43678197,0.4656136,99,-0.0039032376,2
8,87,28800,Fort Collins,0.45381156,0.52336645,0.15917981,3.1675663e-4,3
8,89,28502,Pueblo,0.42360386,0.48018616,0.23645435,-0.018536527,1
8,91,35201,Grand Junction,0.55626214,0.55713803,0.095860563,-0.029370485000000002,1
8,93,28900,Denver,0.46367955,0.4766537,0.092534229,-0.0047558481,2
8,95,28301,Sterling,0.49150434,0.54898131,0.1405894,-0.012410564,1
8,97,28702,Glenwood Springs,0.45833528,0.5004006,0.061886843,-8.7762089e-4,3
8,99,28502,Pueblo,0.43874875,0.46654135,0.20952366,-0.027762583,1
8,101,28502,Pueblo,0.38340402,0.43143398,99,0.0035128647,3
8,103,36401,Steamboat Springs,0.50190043,0.51069617,0.13667254,-0.027095513,1
8,105,34805,Alamosa,0.41259763,0.46284139,0.2321327,-0.038796086,1
8,107,36401,Steamboat Springs,0.49743322,0.50251693,0.099669315,4.4111218e-4,3
8,109,34805,Alamosa,0.43400729,0.49525428,0.29737911,-0.010457819,2
8,111,35300,Farmington,0.47306028,0.48720434,0.12885906,-0.016191507,1
8,113,35201,Grand Junction,0.5124836,0.53275841,0.11512192,-0.0081545031,2
8,115,28302,Ogallala,0.50416535,0.51664573,0.11487759,-0.043843836,1
8,117,28702,Glenwood Springs,0.51823843,0.53450036,0.077934965,0.019990604,4
8,119,28401,Colorado Springs,0.44341394,0.45716035,0.10528482,-0.0098020714,2
8,121,28301,Sterling,0.50372368,0.525253,0.15852609,-0.010936068,2
8,123,28800,Fort Collins,99,0.4880774,0.13657932,0.026151154,4
8,125,28301,Sterling,0.51131254,0.54280359,0.13316287,-0.029859634,1
9,1,20901,Bridgeport,0.43153313,0.50954318,0.057136204,0.0017466976,3
9,3,20901,Bridgeport,0.41020817,0.47648996,0.069014326,0.0053998413,4
9,5,20901,Bridgeport,0.44172055,0.45378226,0.038508371,6.1778241e-4,3
9,7,20901,Bridgeport,0.44725719,0.4730826,0.040522035,9.2110311e-4,3
9,9,20901,Bridgeport,0.41662863,0.4766053,0.075942211,0.0027686285,3
9,11,20901,Bridgeport,0.4089697,0.43838951,0.06404122,-0.0075396053,2
9,13,20901,Bridgeport,0.45716244,0.47005486,0.049461544,0.0019739729,3
9,15,20901,Bridgeport,0.40463668,0.42052209,0.081632644,0.0013033773,3
10,1,19901,Dover,0.38084885,0.41538179,0.1145784,0.0029224944,3
10,3,19800,Wilmington,0.364562,0.41980824,0.072495915,0.0017163425,3
10,5,19901,Dover,0.38123924,0.41716868,0.10417393,0.0050144987,3
11,1,11304,Washington DC,99,0.47581592,0.17032184,0.019518867,4
12,1,7900,Gainesville,0.37195468,0.44574949,0.23259887,0.0056799664,4
12,3,7600,Jacksonville,0.37410435,0.40801987,0.15853333,0.0028833109,3
12,5,10000,Panama City,0.38076016,0.40135333,0.1380896,0.0070182881,4
12,7,7900,Gainesville,0.35476565,0.38446242,0.14962064,-0.008579758,2
12,9,7300,Palm Bay,0.38699719,0.41257161,0.083121657,-2.9837614e-4,3
12,11,7000,Miami,0.39492157,0.45642093,0.091194563,0.0034806274,3
12,13,9900,Tallahassee,0.36535478,0.38857937,0.19000204,-0.011543876,1
12,15,6900,Sarasota,0.4138647,0.43267271,0.070662826,0.0051310132,4
12,17,7800,Ocala,0.39459139,0.40538213,0.12292664,-0.0023373624,3
12,19,7600,Jacksonville,0.38812372,0.4038932,0.063013434,0.016848437,4
12,21,7200,Cape Coral,0.41089547,0.46228653,0.098406926,0.0094282692,4
12,23,7700,Lake City,0.35454869,0.39331305,0.209575,-0.0013325722,3
12,27,6900,Sarasota,0.35680911,0.39230591,0.18780416,-0.0056784628,2
12,29,7900,Gainesville,0.35048658,0.36793211,0.27626267,0.012084292,4
12,31,7600,Jacksonville,0.34949052,0.39809856,0.10987246,0.0091216592,4
12,33,10900,Pensacola,0.36745942,0.41286007,0.16047718,0.0029659444,3
12,35,7500,Deltona,0.41597086,0.42962801,0.099608906,0.050406929,4
12,37,10000,Panama City,0.33930191,0.36101341,0.26557124,-0.0044466699,2
12,39,9900,Tallahassee,0.30693579,0.41500816,0.27556854,-0.011521775,1
12,41,7900,Gainesville,0.38361052,0.3932656,0.17589153,-0.012699796,1
12,43,7100,Port St. Lucie,0.43561956,0.42900485,0.14108796,0.019643556,4
12,45,10000,Panama City,0.34612128,0.38824177,0.17274503,3.4867533e-4,3
12,47,7700,Lake City,0.37324214,0.43133965,0.27642488,-0.0025124734,3
12,49,6800,Lakeland,0.39809197,0.42990273,0.22711004,-0.0011330431,3
12,51,7100,Port St. Lucie,0.35903201,0.40244791,0.18945004,-0.0064700306,2
